,DOI,Citation,Note,type
45,10.18653/v1/2020.findings-emnlp.219,17,,long
46,10.18653/v1/2020.findings-emnlp.89,16,,short
47,10.18653/v1/2020.findings-emnlp.134,16,,short
48,10.18653/v1/2020.findings-emnlp.168,16,,long
49,10.18653/v1/2020.findings-emnlp.225,16,,long
50,10.18653/v1/2020.findings-emnlp.240,16,,short
51,10.18653/v1/2020.findings-emnlp.272,16,,long
52,10.18653/v1/2020.findings-emnlp.307,16,,short
53,10.18653/v1/2020.findings-emnlp.309,16,,long
54,10.18653/v1/2020.findings-emnlp.360,16,,long
55,10.18653/v1/2020.findings-emnlp.41,15,,short
56,10.18653/v1/2020.findings-emnlp.90,15,,long
57,10.18653/v1/2020.findings-emnlp.153,15,,long
58,10.18653/v1/2020.findings-emnlp.298,15,,long
59,10.18653/v1/2020.findings-emnlp.346,15,,long
60,10.18653/v1/2020.findings-emnlp.378,15,,long
61,10.18653/v1/2020.findings-emnlp.387,15,,short
62,10.18653/v1/2020.findings-emnlp.390,15,,long
63,10.18653/v1/2020.findings-emnlp.68,14,,long
64,10.18653/v1/2020.findings-emnlp.150,14,,long
65,10.18653/v1/2020.findings-emnlp.163,14,,long
66,10.18653/v1/2020.findings-emnlp.180,14,,short
67,10.18653/v1/2020.findings-emnlp.203,14,,long
68,10.18653/v1/2020.findings-emnlp.234,14,,long
69,10.18653/v1/2020.findings-emnlp.1,13,,long
70,10.18653/v1/2020.findings-emnlp.3,13,,long
71,10.18653/v1/2020.findings-emnlp.73,13,,long
72,10.18653/v1/2020.findings-emnlp.111,13,,long
73,10.18653/v1/2020.findings-emnlp.157,13,,long
74,10.18653/v1/2020.findings-emnlp.308,13,,long
75,10.18653/v1/2020.findings-emnlp.311,13,,long
76,10.18653/v1/2020.findings-emnlp.371,13,,long
77,10.18653/v1/2020.findings-emnlp.418,13,,long
78,10.18653/v1/2020.findings-emnlp.39,12,,short
79,10.18653/v1/2020.findings-emnlp.43,12,,long
80,10.18653/v1/2020.findings-emnlp.123,12,,long
81,10.18653/v1/2020.findings-emnlp.211,12,,long
82,10.18653/v1/2020.findings-emnlp.322,12,,long
83,10.18653/v1/2020.findings-emnlp.326,12,,long
84,10.18653/v1/2020.findings-emnlp.334,12,,long
85,10.18653/v1/2020.findings-emnlp.394,12,,short
86,10.18653/v1/2020.findings-emnlp.415,12,,short
87,10.18653/v1/2020.findings-emnlp.424,12,,long
88,10.18653/v1/2020.findings-emnlp.44,11,,short
89,10.18653/v1/2020.findings-emnlp.102,11,,long
90,10.18653/v1/2020.findings-emnlp.178,11,,long
91,10.18653/v1/2020.findings-emnlp.206,11,,long
92,10.18653/v1/2020.findings-emnlp.209,11,,long
93,10.18653/v1/2020.findings-emnlp.215,11,,long
94,10.18653/v1/2020.findings-emnlp.405,11,,long
95,10.18653/v1/2020.findings-emnlp.30,10,,long
96,10.18653/v1/2020.findings-emnlp.112,10,,short
97,10.18653/v1/2020.findings-emnlp.118,10,,short
98,10.18653/v1/2020.findings-emnlp.263,10,,long
99,10.18653/v1/2020.findings-emnlp.332,10,,short
100,10.18653/v1/2020.findings-emnlp.352,10,,long
101,10.18653/v1/2020.findings-emnlp.389,10,,short
102,10.18653/v1/2020.findings-emnlp.55,9,,long
103,10.18653/v1/2020.findings-emnlp.76,9,,short
104,10.18653/v1/2020.findings-emnlp.103,9,,long
105,10.18653/v1/2020.findings-emnlp.129,9,,short
106,10.18653/v1/2020.findings-emnlp.145,9,,long
107,10.18653/v1/2020.findings-emnlp.213,9,,long
108,10.18653/v1/2020.findings-emnlp.230,9,,long
109,10.18653/v1/2020.findings-emnlp.286,9,,long
110,10.18653/v1/2020.findings-emnlp.288,9,,short
111,10.18653/v1/2020.findings-emnlp.295,9,,short
112,10.18653/v1/2020.findings-emnlp.296,9,,short
113,10.18653/v1/2020.findings-emnlp.303,9,,long
114,10.18653/v1/2020.findings-emnlp.349,9,,long
115,10.18653/v1/2020.findings-emnlp.439,9,,short
116,10.18653/v1/2020.findings-emnlp.24,8,,long
117,10.18653/v1/2020.findings-emnlp.29,8,,long
118,10.18653/v1/2020.findings-emnlp.72,8,,long
119,10.18653/v1/2020.findings-emnlp.99,8,,short
120,10.18653/v1/2020.findings-emnlp.151,8,,short
121,10.18653/v1/2020.findings-emnlp.253,8,,long
122,10.18653/v1/2020.findings-emnlp.255,8,,long
123,10.18653/v1/2020.findings-emnlp.260,8,,long
124,10.18653/v1/2020.findings-emnlp.294,8,,long
125,10.18653/v1/2020.findings-emnlp.364,8,,short
126,10.18653/v1/2020.findings-emnlp.417,8,,long
127,10.18653/v1/2020.findings-emnlp.4,7,,short
128,10.18653/v1/2020.findings-emnlp.11,7,,long
129,10.18653/v1/2020.findings-emnlp.34,7,,long
130,10.18653/v1/2020.findings-emnlp.42,7,,long
131,10.18653/v1/2020.findings-emnlp.45,7,,long
132,10.18653/v1/2020.findings-emnlp.62,7,,short
133,10.18653/v1/2020.findings-emnlp.66,7,,short
134,10.18653/v1/2020.findings-emnlp.80,7,,long
135,10.18653/v1/2020.findings-emnlp.114,7,,short
136,10.18653/v1/2020.findings-emnlp.156,7,,short
137,10.18653/v1/2020.findings-emnlp.227,7,,long
138,10.18653/v1/2020.findings-emnlp.264,7,,long
139,10.18653/v1/2020.findings-emnlp.267,7,,long
140,10.18653/v1/2020.findings-emnlp.335,7,,short
141,10.18653/v1/2020.findings-emnlp.342,7,,long
142,10.18653/v1/2020.findings-emnlp.347,7,,long
143,10.18653/v1/2020.findings-emnlp.354,7,,long
144,10.18653/v1/2020.findings-emnlp.363,7,,short
145,10.18653/v1/2020.findings-emnlp.407,7,,short
146,10.18653/v1/2020.findings-emnlp.9,6,,long
147,10.18653/v1/2020.findings-emnlp.16,6,,short
148,10.18653/v1/2020.findings-emnlp.47,6,,long
149,10.18653/v1/2020.findings-emnlp.54,6,,long
150,10.18653/v1/2020.findings-emnlp.74,6,,long
151,10.18653/v1/2020.findings-emnlp.81,6,,short
152,10.18653/v1/2020.findings-emnlp.83,6,,long
153,10.18653/v1/2020.findings-emnlp.84,6,,short
154,10.18653/v1/2020.findings-emnlp.104,6,,short
155,10.18653/v1/2020.findings-emnlp.133,6,,short
156,10.18653/v1/2020.findings-emnlp.170,6,,long
157,10.18653/v1/2020.findings-emnlp.174,6,,short
158,10.18653/v1/2020.findings-emnlp.244,6,,long
159,10.18653/v1/2020.findings-emnlp.300,6,,long
160,10.18653/v1/2020.findings-emnlp.310,6,,long
161,10.18653/v1/2020.findings-emnlp.337,6,,long
162,10.18653/v1/2020.findings-emnlp.373,6,,long
163,10.18653/v1/2020.findings-emnlp.397,6,,short
164,10.18653/v1/2020.findings-emnlp.6,5,,long
165,10.18653/v1/2020.findings-emnlp.8,5,,long
166,10.18653/v1/2020.findings-emnlp.23,5,,long
167,10.18653/v1/2020.findings-emnlp.32,5,,long
168,10.18653/v1/2020.findings-emnlp.46,5,,long
169,10.18653/v1/2020.findings-emnlp.70,5,,long
170,10.18653/v1/2020.findings-emnlp.82,5,,long
171,10.18653/v1/2020.findings-emnlp.108,5,,long
172,10.18653/v1/2020.findings-emnlp.109,5,,long
173,10.18653/v1/2020.findings-emnlp.127,5,,long
174,10.18653/v1/2020.findings-emnlp.161,5,,long
175,10.18653/v1/2020.findings-emnlp.184,5,,long
176,10.18653/v1/2020.findings-emnlp.186,5,,long
177,10.18653/v1/2020.findings-emnlp.199,5,,long
178,10.18653/v1/2020.findings-emnlp.223,5,,short
179,10.18653/v1/2020.findings-emnlp.239,5,,long
180,10.18653/v1/2020.findings-emnlp.278,5,,short
181,10.18653/v1/2020.findings-emnlp.280,5,,long
182,10.18653/v1/2020.findings-emnlp.282,5,,short
183,10.18653/v1/2020.findings-emnlp.316,5,,long
184,10.18653/v1/2020.findings-emnlp.323,5,,long
185,10.18653/v1/2020.findings-emnlp.333,5,,long
186,10.18653/v1/2020.findings-emnlp.345,5,,short
187,10.18653/v1/2020.findings-emnlp.348,5,,long
188,10.18653/v1/2020.findings-emnlp.370,5,,long
189,10.18653/v1/2020.findings-emnlp.381,5,,long
190,10.18653/v1/2020.findings-emnlp.409,5,,short
191,10.18653/v1/2020.findings-emnlp.432,5,,long
192,10.18653/v1/2020.findings-emnlp.2,4,,long
193,10.18653/v1/2020.findings-emnlp.18,4,,long
194,10.18653/v1/2020.findings-emnlp.33,4,,long
195,10.18653/v1/2020.findings-emnlp.51,4,,short
196,10.18653/v1/2020.findings-emnlp.67,4,,long
197,10.18653/v1/2020.findings-emnlp.110,4,,short
198,10.18653/v1/2020.findings-emnlp.115,4,,long
199,10.18653/v1/2020.findings-emnlp.122,4,,long
200,10.18653/v1/2020.findings-emnlp.131,4,,long
201,10.18653/v1/2020.findings-emnlp.138,4,,long
202,10.18653/v1/2020.findings-emnlp.141,4,,long
203,10.18653/v1/2020.findings-emnlp.152,4,,short
204,10.18653/v1/2020.findings-emnlp.167,4,,long
205,10.18653/v1/2020.findings-emnlp.176,4,,short
206,10.18653/v1/2020.findings-emnlp.190,4,,long
207,10.18653/v1/2020.findings-emnlp.194,4,,long
208,10.18653/v1/2020.findings-emnlp.212,4,,long
209,10.18653/v1/2020.findings-emnlp.222,4,,short
210,10.18653/v1/2020.findings-emnlp.245,4,,long
211,10.18653/v1/2020.findings-emnlp.249,4,,short
212,10.18653/v1/2020.findings-emnlp.252,4,,long
213,10.18653/v1/2020.findings-emnlp.268,4,,long
214,10.18653/v1/2020.findings-emnlp.269,4,,long
215,10.18653/v1/2020.findings-emnlp.289,4,,long
216,10.18653/v1/2020.findings-emnlp.290,4,,long
217,10.18653/v1/2020.findings-emnlp.329,4,,long
218,10.18653/v1/2020.findings-emnlp.356,4,,short
219,10.18653/v1/2020.findings-emnlp.365,4,,long
220,10.18653/v1/2020.findings-emnlp.384,4,,short
221,10.18653/v1/2020.findings-emnlp.391,4,,long
222,10.18653/v1/2020.findings-emnlp.402,4,,short
223,10.18653/v1/2020.findings-emnlp.412,4,,long
224,10.18653/v1/2020.findings-emnlp.427,4,,short
225,10.18653/v1/2020.findings-emnlp.441,4,,long
226,10.18653/v1/2020.findings-emnlp.25,3,,short
227,10.18653/v1/2020.findings-emnlp.48,3,,long
228,10.18653/v1/2020.findings-emnlp.50,3,,long
229,10.18653/v1/2020.findings-emnlp.97,3,,long
230,10.18653/v1/2020.findings-emnlp.116,3,,short
231,10.18653/v1/2020.findings-emnlp.121,3,,short
232,10.18653/v1/2020.findings-emnlp.136,3,,short
233,10.18653/v1/2020.findings-emnlp.140,3,,long
234,10.18653/v1/2020.findings-emnlp.187,3,,long
235,10.18653/v1/2020.findings-emnlp.192,3,,short
236,10.18653/v1/2020.findings-emnlp.216,3,,short
237,10.18653/v1/2020.findings-emnlp.218,3,,long
238,10.18653/v1/2020.findings-emnlp.228,3,,short
239,10.18653/v1/2020.findings-emnlp.238,3,,long
240,10.18653/v1/2020.findings-emnlp.248,3,,long
241,10.18653/v1/2020.findings-emnlp.305,3,,long
242,10.18653/v1/2020.findings-emnlp.317,3,,short
243,10.18653/v1/2020.findings-emnlp.318,3,,short
244,10.18653/v1/2020.findings-emnlp.340,3,,long
245,10.18653/v1/2020.findings-emnlp.344,3,,long
246,10.18653/v1/2020.findings-emnlp.350,3,,long
247,10.18653/v1/2020.findings-emnlp.358,3,,short
248,10.18653/v1/2020.findings-emnlp.379,3,,short
249,10.18653/v1/2020.findings-emnlp.380,3,,long
250,10.18653/v1/2020.findings-emnlp.382,3,,short
251,10.18653/v1/2020.findings-emnlp.395,3,,short
252,10.18653/v1/2020.findings-emnlp.396,3,,long
253,10.18653/v1/2020.findings-emnlp.416,3,,long
254,10.18653/v1/2020.findings-emnlp.433,3,,long
255,10.18653/v1/2020.findings-emnlp.435,3,,short
256,10.18653/v1/2020.findings-emnlp.437,3,,long
257,10.18653/v1/2020.findings-emnlp.446,3,,long
258,10.18653/v1/2020.findings-emnlp.40,2,,long
259,10.18653/v1/2020.findings-emnlp.52,2,,long
260,10.18653/v1/2020.findings-emnlp.64,2,,long
261,10.18653/v1/2020.findings-emnlp.75,2,,long
262,10.18653/v1/2020.findings-emnlp.77,2,,short
263,10.18653/v1/2020.findings-emnlp.78,2,,short
264,10.18653/v1/2020.findings-emnlp.85,2,,long
265,10.18653/v1/2020.findings-emnlp.86,2,,short
266,10.18653/v1/2020.findings-emnlp.88,2,,long
267,10.18653/v1/2020.findings-emnlp.93,2,,long
268,10.18653/v1/2020.findings-emnlp.95,2,,long
269,10.18653/v1/2020.findings-emnlp.98,2,,long
270,10.18653/v1/2020.findings-emnlp.101,2,,long
271,10.18653/v1/2020.findings-emnlp.105,2,,long
272,10.18653/v1/2020.findings-emnlp.120,2,,long
273,10.18653/v1/2020.findings-emnlp.124,2,,long
274,10.18653/v1/2020.findings-emnlp.154,2,,long
275,10.18653/v1/2020.findings-emnlp.158,2,,long
276,10.18653/v1/2020.findings-emnlp.166,2,,short
277,10.18653/v1/2020.findings-emnlp.172,2,,long
278,10.18653/v1/2020.findings-emnlp.173,2,,long
279,10.18653/v1/2020.findings-emnlp.179,2,,long
280,10.18653/v1/2020.findings-emnlp.181,2,,long
281,10.18653/v1/2020.findings-emnlp.193,2,,short
282,10.18653/v1/2020.findings-emnlp.197,2,,long
283,10.18653/v1/2020.findings-emnlp.202,2,,long
284,10.18653/v1/2020.findings-emnlp.204,2,,long
285,10.18653/v1/2020.findings-emnlp.210,2,,long
286,10.18653/v1/2020.findings-emnlp.214,2,,short
287,10.18653/v1/2020.findings-emnlp.229,2,,long
288,10.18653/v1/2020.findings-emnlp.235,2,,long
289,10.18653/v1/2020.findings-emnlp.236,2,,short
290,10.18653/v1/2020.findings-emnlp.241,2,,long
291,10.18653/v1/2020.findings-emnlp.242,2,,long
292,10.18653/v1/2020.findings-emnlp.247,2,,long
293,10.18653/v1/2020.findings-emnlp.250,2,,long
294,10.18653/v1/2020.findings-emnlp.254,2,,long
295,10.18653/v1/2020.findings-emnlp.256,2,,long
296,10.18653/v1/2020.findings-emnlp.262,2,,long
297,10.18653/v1/2020.findings-emnlp.266,2,,long
298,10.18653/v1/2020.findings-emnlp.271,2,,long
299,10.18653/v1/2020.findings-emnlp.274,2,,long
300,10.18653/v1/2020.findings-emnlp.276,2,,short
301,10.18653/v1/2020.findings-emnlp.277,2,,short
302,10.18653/v1/2020.findings-emnlp.281,2,,long
303,10.18653/v1/2020.findings-emnlp.287,2,,short
304,10.18653/v1/2020.findings-emnlp.293,2,,long
305,10.18653/v1/2020.findings-emnlp.299,2,,long
306,10.18653/v1/2020.findings-emnlp.304,2,,long
307,10.18653/v1/2020.findings-emnlp.320,2,,long
308,10.18653/v1/2020.findings-emnlp.321,2,,long
309,10.18653/v1/2020.findings-emnlp.327,2,,long
310,10.18653/v1/2020.findings-emnlp.339,2,,long
311,10.18653/v1/2020.findings-emnlp.366,2,,short
312,10.18653/v1/2020.findings-emnlp.383,2,,long
313,10.18653/v1/2020.findings-emnlp.386,2,,long
314,10.18653/v1/2020.findings-emnlp.393,2,,long
315,10.18653/v1/2020.findings-emnlp.400,2,,long
316,10.18653/v1/2020.findings-emnlp.410,2,,long
317,10.18653/v1/2020.findings-emnlp.411,2,,short
318,10.18653/v1/2020.findings-emnlp.419,2,,long
319,10.18653/v1/2020.findings-emnlp.423,2,,short
320,10.18653/v1/2020.findings-emnlp.429,2,,long
321,10.18653/v1/2020.findings-emnlp.442,2,,long
322,10.18653/v1/2020.findings-emnlp.447,2,,short
323,10.18653/v1/2020.findings-emnlp.13,1,,long
324,10.18653/v1/2020.findings-emnlp.20,1,,long
325,10.18653/v1/2020.findings-emnlp.26,1,,long
326,10.18653/v1/2020.findings-emnlp.28,1,,short
327,10.18653/v1/2020.findings-emnlp.31,1,,long
328,10.18653/v1/2020.findings-emnlp.36,1,,long
329,10.18653/v1/2020.findings-emnlp.38,1,,short
330,10.18653/v1/2020.findings-emnlp.56,1,,long
331,10.18653/v1/2020.findings-emnlp.57,1,,short
332,10.18653/v1/2020.findings-emnlp.87,1,,long
333,10.18653/v1/2020.findings-emnlp.94,1,,short
334,10.18653/v1/2020.findings-emnlp.96,1,,short
335,10.18653/v1/2020.findings-emnlp.100,1,,short
336,10.18653/v1/2020.findings-emnlp.113,1,,long
337,10.18653/v1/2020.findings-emnlp.119,1,,short
338,10.18653/v1/2020.findings-emnlp.126,1,,long
339,10.18653/v1/2020.findings-emnlp.130,1,,long
340,10.18653/v1/2020.findings-emnlp.137,1,,long
341,10.18653/v1/2020.findings-emnlp.144,1,,long
342,10.18653/v1/2020.findings-emnlp.175,1,,short
343,10.18653/v1/2020.findings-emnlp.182,1,,long
344,10.18653/v1/2020.findings-emnlp.183,1,,long
345,10.18653/v1/2020.findings-emnlp.208,1,,long
346,10.18653/v1/2020.findings-emnlp.221,1,,short
347,10.18653/v1/2020.findings-emnlp.226,1,,short
348,10.18653/v1/2020.findings-emnlp.231,1,,long
349,10.18653/v1/2020.findings-emnlp.233,1,,long
350,10.18653/v1/2020.findings-emnlp.243,1,,long
351,10.18653/v1/2020.findings-emnlp.251,1,,long
352,10.18653/v1/2020.findings-emnlp.258,1,,short
353,10.18653/v1/2020.findings-emnlp.265,1,,long
354,10.18653/v1/2020.findings-emnlp.273,1,,long
355,10.18653/v1/2020.findings-emnlp.275,1,,long
356,10.18653/v1/2020.findings-emnlp.306,1,,long
357,10.18653/v1/2020.findings-emnlp.313,1,,long
358,10.18653/v1/2020.findings-emnlp.319,1,,short
359,10.18653/v1/2020.findings-emnlp.325,1,,long
360,10.18653/v1/2020.findings-emnlp.328,1,,short
361,10.18653/v1/2020.findings-emnlp.330,1,,long
362,10.18653/v1/2020.findings-emnlp.331,1,,long
363,10.18653/v1/2020.findings-emnlp.336,1,,long
364,10.18653/v1/2020.findings-emnlp.338,1,,long
365,10.18653/v1/2020.findings-emnlp.351,1,,short
366,10.18653/v1/2020.findings-emnlp.353,1,,short
367,10.18653/v1/2020.findings-emnlp.355,1,,long
368,10.18653/v1/2020.findings-emnlp.359,1,,long
369,10.18653/v1/2020.findings-emnlp.361,1,,long
370,10.18653/v1/2020.findings-emnlp.368,1,,short
371,10.18653/v1/2020.findings-emnlp.377,1,,long
372,10.18653/v1/2020.findings-emnlp.385,1,,short
373,10.18653/v1/2020.findings-emnlp.403,1,,short
374,10.18653/v1/2020.findings-emnlp.404,1,,long
375,10.18653/v1/2020.findings-emnlp.408,1,,long
376,10.18653/v1/2020.findings-emnlp.413,1,,long
377,10.18653/v1/2020.findings-emnlp.422,1,,short
378,10.18653/v1/2020.findings-emnlp.426,1,,short
379,10.18653/v1/2020.findings-emnlp.431,1,,short
380,10.18653/v1/2020.findings-emnlp.434,1,,long
381,10.18653/v1/2020.findings-emnlp.436,1,,long
382,10.18653/v1/2020.findings-emnlp.444,1,,long
383,10.18653/v1/2020.findings-emnlp.5,0,,short
384,10.18653/v1/2020.findings-emnlp.10,0,,short
385,10.18653/v1/2020.findings-emnlp.12,0,,long
386,10.18653/v1/2020.findings-emnlp.14,0,,short
387,10.18653/v1/2020.findings-emnlp.15,0,,long
388,10.18653/v1/2020.findings-emnlp.21,0,,long
389,10.18653/v1/2020.findings-emnlp.35,0,,long
390,10.18653/v1/2020.findings-emnlp.37,0,,short
391,10.18653/v1/2020.findings-emnlp.53,0,,long
392,10.18653/v1/2020.findings-emnlp.59,0,,long
393,10.18653/v1/2020.findings-emnlp.60,0,,long
394,10.18653/v1/2020.findings-emnlp.61,0,,long
395,10.18653/v1/2020.findings-emnlp.69,0,,long
396,10.18653/v1/2020.findings-emnlp.79,0,,long
397,10.18653/v1/2020.findings-emnlp.132,0,,long
398,10.18653/v1/2020.findings-emnlp.135,0,,long
399,10.18653/v1/2020.findings-emnlp.142,0,,long
400,10.18653/v1/2020.findings-emnlp.143,0,,short
401,10.18653/v1/2020.findings-emnlp.146,0,,long
402,10.18653/v1/2020.findings-emnlp.149,0,,long
403,10.18653/v1/2020.findings-emnlp.155,0,,long
404,10.18653/v1/2020.findings-emnlp.159,0,,long
405,10.18653/v1/2020.findings-emnlp.160,0,,long
406,10.18653/v1/2020.findings-emnlp.162,0,,long
407,10.18653/v1/2020.findings-emnlp.164,0,,short
408,10.18653/v1/2020.findings-emnlp.169,0,,long
409,10.18653/v1/2020.findings-emnlp.177,0,,long
410,10.18653/v1/2020.findings-emnlp.185,0,,long
411,10.18653/v1/2020.findings-emnlp.188,0,,long
412,10.18653/v1/2020.findings-emnlp.189,0,,long
413,10.18653/v1/2020.findings-emnlp.191,0,,short
414,10.18653/v1/2020.findings-emnlp.198,0,,long
415,10.18653/v1/2020.findings-emnlp.200,0,,long
416,10.18653/v1/2020.findings-emnlp.201,0,,short
417,10.18653/v1/2020.findings-emnlp.205,0,,short
418,10.18653/v1/2020.findings-emnlp.220,0,,long
419,10.18653/v1/2020.findings-emnlp.237,0,,long
420,10.18653/v1/2020.findings-emnlp.246,0,,long
421,10.18653/v1/2020.findings-emnlp.257,0,,short
422,10.18653/v1/2020.findings-emnlp.259,0,,long
423,10.18653/v1/2020.findings-emnlp.270,0,,short
424,10.18653/v1/2020.findings-emnlp.279,0,,long
425,10.18653/v1/2020.findings-emnlp.284,0,,long
426,10.18653/v1/2020.findings-emnlp.285,0,,short
427,10.18653/v1/2020.findings-emnlp.297,0,,short
428,10.18653/v1/2020.findings-emnlp.302,0,,short
429,10.18653/v1/2020.findings-emnlp.312,0,,long
430,10.18653/v1/2020.findings-emnlp.315,0,,long
431,10.18653/v1/2020.findings-emnlp.324,0,,long
432,10.18653/v1/2020.findings-emnlp.343,0,,short
433,10.18653/v1/2020.findings-emnlp.357,0,,short
434,10.18653/v1/2020.findings-emnlp.362,0,,long
435,10.18653/v1/2020.findings-emnlp.367,0,,long
436,10.18653/v1/2020.findings-emnlp.374,0,,short
437,10.18653/v1/2020.findings-emnlp.375,0,,long
438,10.18653/v1/2020.findings-emnlp.376,0,,long
439,10.18653/v1/2020.findings-emnlp.388,0,,long
440,10.18653/v1/2020.findings-emnlp.392,0,,long
441,10.18653/v1/2020.findings-emnlp.401,0,,short
442,10.18653/v1/2020.findings-emnlp.406,0,,long
443,10.18653/v1/2020.findings-emnlp.420,0,,long
444,10.18653/v1/2020.findings-emnlp.421,0,,short
445,10.18653/v1/2020.findings-emnlp.430,0,,short
446,10.18653/v1/2020.findings-emnlp.443,0,,short
