,DOI,Citation,Note,type
186,10.18653/v1/2020.emnlp-main.187,11,,long
187,10.18653/v1/2020.emnlp-main.188,3,,long
188,10.18653/v1/2020.emnlp-main.189,1,,long
189,10.18653/v1/2020.emnlp-main.190,15,,long
190,10.18653/v1/2020.emnlp-main.191,13,,long
191,10.18653/v1/2020.emnlp-main.192,1,,long
192,10.18653/v1/2020.emnlp-main.193,3,,long
193,10.18653/v1/2020.emnlp-main.194,12,,long
194,10.18653/v1/2020.emnlp-main.195,16,,long
195,10.18653/v1/2020.emnlp-main.196,16,,long
196,10.18653/v1/2020.emnlp-main.197,8,,long
197,10.18653/v1/2020.emnlp-main.198,0,,short
198,10.18653/v1/2020.emnlp-main.199,8,,long
199,10.18653/v1/2020.emnlp-main.200,2,,long
200,10.18653/v1/2020.emnlp-main.201,2,,short
201,10.18653/v1/2020.emnlp-main.202,7,,long
202,10.18653/v1/2020.emnlp-main.203,3,,short
203,10.18653/v1/2020.emnlp-main.204,10,,short
204,10.18653/v1/2020.emnlp-main.205,0,,short
205,10.18653/v1/2020.emnlp-main.206,4,,long
206,10.18653/v1/2020.emnlp-main.207,6,,long
207,10.18653/v1/2020.emnlp-main.208,13,,long
208,10.18653/v1/2020.emnlp-main.209,7,,long
209,10.18653/v1/2020.emnlp-main.210,30,,long
210,10.18653/v1/2020.emnlp-main.211,10,,long
211,10.18653/v1/2020.emnlp-main.212,1,,long
212,10.18653/v1/2020.emnlp-main.213,39,,long
213,10.18653/v1/2020.emnlp-main.214,12,,short
214,10.18653/v1/2020.emnlp-main.215,14,,long
215,10.18653/v1/2020.emnlp-main.216,2,,long
216,10.18653/v1/2020.emnlp-main.217,1,,long
217,10.18653/v1/2020.emnlp-main.218,0,,short
218,10.18653/v1/2020.emnlp-main.219,9,,short
219,10.18653/v1/2020.emnlp-main.220,2,,short
220,10.18653/v1/2020.emnlp-main.221,7,,long
221,10.18653/v1/2020.emnlp-main.222,0,,short
222,10.18653/v1/2020.emnlp-main.223,0,,long
223,10.18653/v1/2020.emnlp-main.224,9,,short
224,10.18653/v1/2020.emnlp-main.225,2,,long
225,10.18653/v1/2020.emnlp-main.226,20,,long
226,10.18653/v1/2020.emnlp-main.227,8,,long
227,10.18653/v1/2020.emnlp-main.228,3,,long
228,10.18653/v1/2020.emnlp-main.229,2,,short
229,10.18653/v1/2020.emnlp-main.230,1,,short
230,10.18653/v1/2020.emnlp-main.231,4,,long
231,10.18653/v1/2020.emnlp-main.232,5,,long
232,10.18653/v1/2020.emnlp-main.233,8,,long
233,10.18653/v1/2020.emnlp-main.234,0,,long
234,10.18653/v1/2020.emnlp-main.235,3,,short
235,10.18653/v1/2020.emnlp-main.236,6,,short
236,10.18653/v1/2020.emnlp-main.237,0,,long
237,10.18653/v1/2020.emnlp-main.238,1,,long
238,10.18653/v1/2020.emnlp-main.239,1,,long
239,10.18653/v1/2020.emnlp-main.240,1,,short
240,10.18653/v1/2020.emnlp-main.241,5,,short
241,10.18653/v1/2020.emnlp-main.242,12,,short
242,10.18653/v1/2020.emnlp-main.243,4,,long
243,10.18653/v1/2020.emnlp-main.244,0,,short
244,10.18653/v1/2020.emnlp-main.245,5,,long
245,10.18653/v1/2020.emnlp-main.246,3,,long
246,10.18653/v1/2020.emnlp-main.247,1,,long
247,10.18653/v1/2020.emnlp-main.248,19,,short
248,10.18653/v1/2020.emnlp-main.249,0,,long
249,10.18653/v1/2020.emnlp-main.250,8,,long
250,10.18653/v1/2020.emnlp-main.251,0,,short
251,10.18653/v1/2020.emnlp-main.252,3,,long
252,10.18653/v1/2020.emnlp-main.253,12,,long
253,10.18653/v1/2020.emnlp-main.254,14,,long
254,10.18653/v1/2020.emnlp-main.255,11,,long
255,10.18653/v1/2020.emnlp-main.256,11,,short
256,10.18653/v1/2020.emnlp-main.257,13,,long
257,10.18653/v1/2020.emnlp-main.258,4,,long
258,10.18653/v1/2020.emnlp-main.259,43,,long
259,10.18653/v1/2020.emnlp-main.260,3,,short
260,10.18653/v1/2020.emnlp-main.261,4,,short
261,10.18653/v1/2020.emnlp-main.262,20,,long
262,10.18653/v1/2020.emnlp-main.263,29,,long
263,10.18653/v1/2020.emnlp-main.264,5,,long
264,10.18653/v1/2020.emnlp-main.265,13,,short
265,10.18653/v1/2020.emnlp-main.266,1,,short
266,10.18653/v1/2020.emnlp-main.267,2,,long
267,10.18653/v1/2020.emnlp-main.268,2,,long
268,10.18653/v1/2020.emnlp-main.269,27,,long
269,10.18653/v1/2020.emnlp-main.270,2,,long
270,10.18653/v1/2020.emnlp-main.271,15,,long
271,10.18653/v1/2020.emnlp-main.272,30,,long
272,10.18653/v1/2020.emnlp-main.273,26,,long
273,10.18653/v1/2020.emnlp-main.274,8,,long
274,10.18653/v1/2020.emnlp-main.275,19,,long
275,10.18653/v1/2020.emnlp-main.276,4,,long
276,10.18653/v1/2020.emnlp-main.277,4,,long
277,10.18653/v1/2020.emnlp-main.278,1,,long
278,10.18653/v1/2020.emnlp-main.279,13,,long
279,10.18653/v1/2020.emnlp-main.280,2,,long
280,10.18653/v1/2020.emnlp-main.281,7,,long
281,10.18653/v1/2020.emnlp-main.282,0,,short
282,10.18653/v1/2020.emnlp-main.283,8,,short
283,10.18653/v1/2020.emnlp-main.284,2,,short
284,10.18653/v1/2020.emnlp-main.285,29,,long
285,10.18653/v1/2020.emnlp-main.286,11,,long
286,10.18653/v1/2020.emnlp-main.287,3,,long
287,10.18653/v1/2020.emnlp-main.288,3,,short
288,10.18653/v1/2020.emnlp-main.289,4,,short
289,10.18653/v1/2020.emnlp-main.290,4,,long
290,10.18653/v1/2020.emnlp-main.291,3,,long
291,10.18653/v1/2020.emnlp-main.292,5,,long
292,10.18653/v1/2020.emnlp-main.293,3,,short
293,10.18653/v1/2020.emnlp-main.294,8,,long
294,10.18653/v1/2020.emnlp-main.295,12,,long
295,10.18653/v1/2020.emnlp-main.296,15,,long
296,10.18653/v1/2020.emnlp-main.297,10,,long
297,10.18653/v1/2020.emnlp-main.298,27,,long
298,10.18653/v1/2020.emnlp-main.299,10,,long
299,10.18653/v1/2020.emnlp-main.300,2,,short
300,10.18653/v1/2020.emnlp-main.301,4,,short
301,10.18653/v1/2020.emnlp-main.302,6,,short
302,10.18653/v1/2020.emnlp-main.303,17,,long
303,10.18653/v1/2020.emnlp-main.304,3,,long
304,10.18653/v1/2020.emnlp-main.305,8,,long
305,10.18653/v1/2020.emnlp-main.306,12,,long
306,10.18653/v1/2020.emnlp-main.307,0,,short
307,10.18653/v1/2020.emnlp-main.308,5,,long
308,10.18653/v1/2020.emnlp-main.309,9,,long
309,10.18653/v1/2020.emnlp-main.310,4,,short
310,10.18653/v1/2020.emnlp-main.311,1,,long
311,10.18653/v1/2020.emnlp-main.312,0,,long
312,10.18653/v1/2020.emnlp-main.313,6,,long
313,10.18653/v1/2020.emnlp-main.314,3,,long
314,10.18653/v1/2020.emnlp-main.315,2,,short
315,10.18653/v1/2020.emnlp-main.316,6,,short
316,10.18653/v1/2020.emnlp-main.317,58,,long
317,10.18653/v1/2020.emnlp-main.318,3,,long
318,10.18653/v1/2020.emnlp-main.319,1,,long
319,10.18653/v1/2020.emnlp-main.320,1,,long
320,10.18653/v1/2020.emnlp-main.321,4,,long
321,10.18653/v1/2020.emnlp-main.322,8,,long
322,10.18653/v1/2020.emnlp-main.323,7,,long
323,10.18653/v1/2020.emnlp-main.324,4,,short
324,10.18653/v1/2020.emnlp-main.325,2,,short
325,10.18653/v1/2020.emnlp-main.326,10,,long
326,10.18653/v1/2020.emnlp-main.327,12,,long
327,10.18653/v1/2020.emnlp-main.328,1,,long
328,10.18653/v1/2020.emnlp-main.329,1,,long
329,10.18653/v1/2020.emnlp-main.330,2,,long
330,10.18653/v1/2020.emnlp-main.331,2,,long
331,10.18653/v1/2020.emnlp-main.332,4,,long
332,10.18653/v1/2020.emnlp-main.333,5,,short
333,10.18653/v1/2020.emnlp-main.334,8,,long
334,10.18653/v1/2020.emnlp-main.335,2,,short
335,10.18653/v1/2020.emnlp-main.336,23,,long
336,10.18653/v1/2020.emnlp-main.337,13,,long
337,10.18653/v1/2020.emnlp-main.338,4,,short
338,10.18653/v1/2020.emnlp-main.339,9,,long
339,10.18653/v1/2020.emnlp-main.340,0,,long
340,10.18653/v1/2020.emnlp-main.341,10,,short
341,10.18653/v1/2020.emnlp-main.342,14,,long
342,10.18653/v1/2020.emnlp-main.343,3,,short
343,10.18653/v1/2020.emnlp-main.344,6,,long
344,10.18653/v1/2020.emnlp-main.345,3,,long
345,10.18653/v1/2020.emnlp-main.346,53,,long
346,10.18653/v1/2020.emnlp-main.347,12,,long
347,10.18653/v1/2020.emnlp-main.348,14,,long
348,10.18653/v1/2020.emnlp-main.349,27,,long
349,10.18653/v1/2020.emnlp-main.350,3,,long
350,10.18653/v1/2020.emnlp-main.351,20,,long
351,10.18653/v1/2020.emnlp-main.352,2,,long
352,10.18653/v1/2020.emnlp-main.353,5,,short
353,10.18653/v1/2020.emnlp-main.354,12,,long
354,10.18653/v1/2020.emnlp-main.355,15,,long
355,10.18653/v1/2020.emnlp-main.356,34,,long
356,10.18653/v1/2020.emnlp-main.357,5,,long
357,10.18653/v1/2020.emnlp-main.358,13,,long
358,10.18653/v1/2020.emnlp-main.359,18,,long
359,10.18653/v1/2020.emnlp-main.360,0,,long
360,10.18653/v1/2020.emnlp-main.361,14,,short
361,10.18653/v1/2020.emnlp-main.362,3,,short
362,10.18653/v1/2020.emnlp-main.363,47,,long
363,10.18653/v1/2020.emnlp-main.364,4,,long
364,10.18653/v1/2020.emnlp-main.365,97,,long
365,10.18653/v1/2020.emnlp-main.366,0,,short
366,10.18653/v1/2020.emnlp-main.367,12,,short
367,10.18653/v1/2020.emnlp-main.368,30,,long
368,10.18653/v1/2020.emnlp-main.369,11,,short
369,10.18653/v1/2020.emnlp-main.370,23,,long
370,10.18653/v1/2020.emnlp-main.371,4,,long
371,10.18653/v1/2020.emnlp-main.372,14,,long
372,10.18653/v1/2020.emnlp-main.373,53,,long
373,10.18653/v1/2020.emnlp-main.374,7,,short
374,10.18653/v1/2020.emnlp-main.375,2,,long
375,10.18653/v1/2020.emnlp-main.376,3,,short
376,10.18653/v1/2020.emnlp-main.377,3,,long
377,10.18653/v1/2020.emnlp-main.378,39,,long
378,10.18653/v1/2020.emnlp-main.379,13,,short
379,10.18653/v1/2020.emnlp-main.380,9,,long
380,10.18653/v1/2020.emnlp-main.381,8,,long
381,10.18653/v1/2020.emnlp-main.382,7,,short
382,10.18653/v1/2020.emnlp-main.383,2,,short
383,10.18653/v1/2020.emnlp-main.384,3,,long
384,10.18653/v1/2020.emnlp-main.385,5,,long
385,10.18653/v1/2020.emnlp-main.386,3,,long
386,10.18653/v1/2020.emnlp-main.387,4,,long
387,10.18653/v1/2020.emnlp-main.388,2,,short
388,10.18653/v1/2020.emnlp-main.389,7,,long
389,10.18653/v1/2020.emnlp-main.390,4,,short
390,10.18653/v1/2020.emnlp-main.391,4,,long
391,10.18653/v1/2020.emnlp-main.392,11,,long
392,10.18653/v1/2020.emnlp-main.393,14,,short
393,10.18653/v1/2020.emnlp-main.394,4,,long
394,10.18653/v1/2020.emnlp-main.395,23,,long
395,10.18653/v1/2020.emnlp-main.396,6,,long
396,10.18653/v1/2020.emnlp-main.397,10,,long
397,10.18653/v1/2020.emnlp-main.398,11,,long
398,10.18653/v1/2020.emnlp-main.399,7,,long
399,10.18653/v1/2020.emnlp-main.400,47,,long
400,10.18653/v1/2020.emnlp-main.402,1,,short
401,10.18653/v1/2020.emnlp-main.403,6,,long
402,10.18653/v1/2020.emnlp-main.404,8,,long
403,10.18653/v1/2020.emnlp-main.405,4,,short
404,10.18653/v1/2020.emnlp-main.406,1,,long
405,10.18653/v1/2020.emnlp-main.407,9,,long
406,10.18653/v1/2020.emnlp-main.408,12,,long
407,10.18653/v1/2020.emnlp-main.409,7,,long
408,10.18653/v1/2020.emnlp-main.410,28,,long
409,10.18653/v1/2020.emnlp-main.411,12,,long
410,10.18653/v1/2020.emnlp-main.412,1,,short
411,10.18653/v1/2020.emnlp-main.413,17,,long
412,10.18653/v1/2020.emnlp-main.414,3,,short
413,10.18653/v1/2020.emnlp-main.415,3,,long
414,10.18653/v1/2020.emnlp-main.416,2,,long
415,10.18653/v1/2020.emnlp-main.417,6,,short
416,10.18653/v1/2020.emnlp-main.418,9,,long
417,10.18653/v1/2020.emnlp-main.419,5,,long
418,10.18653/v1/2020.emnlp-main.420,21,,long
419,10.18653/v1/2020.emnlp-main.421,4,,short
420,10.18653/v1/2020.emnlp-main.422,1,,long
421,10.18653/v1/2020.emnlp-main.423,1,,long
422,10.18653/v1/2020.emnlp-main.424,3,,long
423,10.18653/v1/2020.emnlp-main.425,21,,long
424,10.18653/v1/2020.emnlp-main.426,11,,long
425,10.18653/v1/2020.emnlp-main.427,3,,long
426,10.18653/v1/2020.emnlp-main.428,2,,long
427,10.18653/v1/2020.emnlp-main.429,1,,long
428,10.18653/v1/2020.emnlp-main.430,3,,long
429,10.18653/v1/2020.emnlp-main.431,6,,long
430,10.18653/v1/2020.emnlp-main.432,1,,long
431,10.18653/v1/2020.emnlp-main.433,6,,short
432,10.18653/v1/2020.emnlp-main.434,6,,long
433,10.18653/v1/2020.emnlp-main.435,15,,short
434,10.18653/v1/2020.emnlp-main.436,3,,short
435,10.18653/v1/2020.emnlp-main.437,174,,short
436,10.18653/v1/2020.emnlp-main.438,5,,long
437,10.18653/v1/2020.emnlp-main.439,12,,long
438,10.18653/v1/2020.emnlp-main.440,8,,short
439,10.18653/v1/2020.emnlp-main.441,2,,long
440,10.18653/v1/2020.emnlp-main.442,4,,long
441,10.18653/v1/2020.emnlp-main.443,5,,long
442,10.18653/v1/2020.emnlp-main.444,3,,long
443,10.18653/v1/2020.emnlp-main.445,4,,long
444,10.18653/v1/2020.emnlp-main.446,23,,long
445,10.18653/v1/2020.emnlp-main.447,15,,short
446,10.18653/v1/2020.emnlp-main.448,17,,long
447,10.18653/v1/2020.emnlp-main.449,1,,long
448,10.18653/v1/2020.emnlp-main.450,1,,short
449,10.18653/v1/2020.emnlp-main.451,6,,long
450,10.18653/v1/2020.emnlp-main.452,0,,long
451,10.18653/v1/2020.emnlp-main.453,0,,long
452,10.18653/v1/2020.emnlp-main.454,0,,long
453,10.18653/v1/2020.emnlp-main.455,8,,long
454,10.18653/v1/2020.emnlp-main.456,1,,long
455,10.18653/v1/2020.emnlp-main.457,7,,long
456,10.18653/v1/2020.emnlp-main.458,0,,long
457,10.18653/v1/2020.emnlp-main.459,1,,long
458,10.18653/v1/2020.emnlp-main.460,13,,long
459,10.18653/v1/2020.emnlp-main.461,8,,long
460,10.18653/v1/2020.emnlp-main.462,10,,long
461,10.18653/v1/2020.emnlp-main.463,47,,long
462,10.18653/v1/2020.emnlp-main.464,8,,long
463,10.18653/v1/2020.emnlp-main.465,1,,short
464,10.18653/v1/2020.emnlp-main.466,47,,long
465,10.18653/v1/2020.emnlp-main.467,7,,long
466,10.18653/v1/2020.emnlp-main.468,25,,long
467,10.18653/v1/2020.emnlp-main.469,4,,long
468,10.18653/v1/2020.emnlp-main.470,34,,short
469,10.18653/v1/2020.emnlp-main.471,0,,long
470,10.18653/v1/2020.emnlp-main.472,5,,short
471,10.18653/v1/2020.emnlp-main.473,5,,short
472,10.18653/v1/2020.emnlp-main.474,6,,long
473,10.18653/v1/2020.emnlp-main.475,22,,long
474,10.18653/v1/2020.emnlp-main.476,5,,long
475,10.18653/v1/2020.emnlp-main.477,15,,long
476,10.18653/v1/2020.emnlp-main.478,3,,long
477,10.18653/v1/2020.emnlp-main.479,22,,long
478,10.18653/v1/2020.emnlp-main.480,37,,long
479,10.18653/v1/2020.emnlp-main.481,2,,long
480,10.18653/v1/2020.emnlp-main.482,10,,long
481,10.18653/v1/2020.emnlp-main.483,1,,short
482,10.18653/v1/2020.emnlp-main.484,91,,long
483,10.18653/v1/2020.emnlp-main.485,1,,short
484,10.18653/v1/2020.emnlp-main.486,3,,long
485,10.18653/v1/2020.emnlp-main.487,15,,short
486,10.18653/v1/2020.emnlp-main.488,16,,short
487,10.18653/v1/2020.emnlp-main.489,15,,long
488,10.18653/v1/2020.emnlp-main.490,2,,short
489,10.18653/v1/2020.emnlp-main.491,9,,long
490,10.18653/v1/2020.emnlp-main.492,2,,short
491,10.18653/v1/2020.emnlp-main.493,3,,long
492,10.18653/v1/2020.emnlp-main.494,4,,long
493,10.18653/v1/2020.emnlp-main.495,8,,long
494,10.18653/v1/2020.emnlp-main.496,46,,long
495,10.18653/v1/2020.emnlp-main.497,4,,short
496,10.18653/v1/2020.emnlp-main.498,75,,short
497,10.18653/v1/2020.emnlp-main.499,1,,long
498,10.18653/v1/2020.emnlp-main.500,90,,long
499,10.18653/v1/2020.emnlp-main.501,1,,short
500,10.18653/v1/2020.emnlp-main.502,4,,long
501,10.18653/v1/2020.emnlp-main.503,0,,long
502,10.18653/v1/2020.emnlp-main.504,0,,long
503,10.18653/v1/2020.emnlp-main.505,4,,long
504,10.18653/v1/2020.emnlp-main.506,18,,short
505,10.18653/v1/2020.emnlp-main.507,8,,long
506,10.18653/v1/2020.emnlp-main.508,11,,short
507,10.18653/v1/2020.emnlp-main.509,4,,long
508,10.18653/v1/2020.emnlp-main.510,6,,short
509,10.18653/v1/2020.emnlp-main.511,9,,long
510,10.18653/v1/2020.emnlp-main.512,9,,long
511,10.18653/v1/2020.emnlp-main.513,1,,long
512,10.18653/v1/2020.emnlp-main.514,4,,long
513,10.18653/v1/2020.emnlp-main.515,8,,long
514,10.18653/v1/2020.emnlp-main.516,8,,long
515,10.18653/v1/2020.emnlp-main.517,2,,short
516,10.18653/v1/2020.emnlp-main.518,4,,long
